$三一重工(SH600031)$1717谐音，要起要起。新得一波行情要起来了。,03-17
最近一周，对三一是真的不友好啊,03-16
$三一重工(SH600031)$稀释股份，大大的利空,03-16
$三一重工(SH600031)$所以各位散户应该长点记性了吧，远离股市！你不理财,03-16
27的还有吗,03-16
$三一重工(SH600031)$底在哪里？,03-16
三一重工按照18年的股价，七块乘以2，等于14块，毕竟21年的利润是翻倍的，再加,03-16
$三一重工(SH600031)$我敢保证今年绝对变成11轻工本人也割肉了30本现,03-16
$三一重工(SH600031)$不用一字板，明天涨3个点我就抛，我知道后面又会跌,03-16
如果明天三一不涨停，今天吧里每一个发言的人都发给他10元的大红包[大笑][大笑],03-16
恭喜今天上车的朋友，明天吃涨停板,03-16
$三一重工(SH600031)$17.34割了一大半。现在成本90+,03-16
价值分析：万孚生物VS明德生物,03-16
$三一重工(SH600031)$不跌到9块钱支撑平台上坚决不动手[得意],03-16
$三一重工(SH600031)$当初那几个嘲笑我没格局的现在可还好？哥这个月赚了,03-16
明天收盘必红，明天收盘必红，明天必红,03-16
明天能涨五个点直播吃米,03-16
$三一重工(SH600031)$有点绝望了,03-16
一三重工，全球第一,03-16
跌得心里拔凉拔凉的，不敢猜哪里是底了。兄弟们觉得能保住千亿市值不,03-16
$三一重工(SH600031)$就算跌到7.8块钱也要磨底几年了，城市化建设已经,03-16
虽然前几个月跌了很多，也不见得后面几个月它不会跌的更多是吧。,03-16
去瑞士上市算利好吗？,03-16
$三一重工(SH600031)$想当初中船号称造航母的超级军工第一股，被炒到哪个,03-16
$三一重工(SH600031)$稳了么[捂脸],03-16
是真不懂还是假不懂啊？朋友们，看看华泰证券2019年6月发行全球存托凭证的走势，,03-16
$三一重工(SH600031)$三一重工9块才是底，我就等着。,03-16
$三一重工(SH600031)$五个涨停板都救不回来，梁稳根你真是垃圾,03-16
$三一重工(SH600031)$希望是二次探底结束,03-16
一季报很差，否则不会这个样子[捂脸][捂脸]，太不可思议了[大笑][大笑],03-16
三一重工：连续4日融资净偿还累计1.82亿元（03-15）,03-16
一次节目看凉瘟梗，当时看央视采访，一副很嚣张的样子，根本不把同行放在眼里，对柳工,03-16
欢迎来到一一重工股吧,03-16
核心资产变心了,03-16
北向资金操作风格解析之一,03-16
3.1元指日可待,03-16
$三一重工(SH600031)$你们说，高毅是不是走了？没主力，自由落体。,03-16
万孚生物VS华大基因,03-16
是时候改名一三轻工了，不然要成三块一工的,03-16
$三一重工(SH600031)$小子吃鸡腿了,03-16
$三一重工(SH600031)$股价从近50元一直跌到16元，这种公司就不要到国,03-16
16快的三一要珍惜[大笑][大笑][大笑],03-16
$三一重工(SH600031)$所谓万亿目标就是不断融资不断吸钱,03-16
早日变成一一重工,03-16
这个星期应该能变成一三重工，一起见证,03-16
$三一重工(SH600031)$明天还跌,03-16
15.70等你,03-16
$三一重工(SH600031)$25元的本，三年能回本嘛,03-16
恶心人的票,03-16
只有跌倒股价有足够的吸引力才有机构进来，此股跌倒10元下我绝对全仓。,03-16
很不错，真快变成一一重工了[呲牙],03-16
牛市来了，我就拿着；牛市没来，我就等着,03-16
gougougoufallfallfall,03-16
败胜亏盈的结果是由认知决定.,03-16
50腰斩是25，25腰斩是12.5，三一重工变成二一重工，即将变成一一重工，后面,03-16
跌到10块以下我一定买你，一定做到,03-16
三一做的好，应点赞。一个月有二十多天尽绿盘，经常性的大绿，不只把百姓良民们绿怕跌,03-16
净整些没用的公告，董秘，你直接说杭州园林和浙江建设以及东数西算不是用手挖坑基建的,03-16
8块是大底，大家不要接飞刀,03-16
败胜亏盈的结局由认知决定,03-16
$三一重工(SH600031)$2016年才3块钱现在的价格还要跌80%公司基本,03-16
$三一重工(SH600031)$别的不看就看散户集中营就明白了，估计下次公布15,03-16
我从新开了个账户，现有资金半仓入场，跌3%加一层仓,03-16
$三一重工(SH600031)$估计跌破10元才行,03-15
$三一重工(SH600031)$这次报仇混了1个点下次下继续报仇,03-15
$三一重工(SH600031)$本周先看15,03-15
算是看出来了去资讯评论的全是托真恶心,03-15
一三重工快了,03-15
在国内混不下去了,03-15
一三重工很快就到,03-16
$三一重工(SH600031)$说白了，就是对国内的投资机构很失望，跑到外面找慧,03-16
一一重工了我再来,03-15
$三一重工(SH600031)$明天19,03-15
跌倒5块钱 我卖肾买啊,03-15
$三一重工(SH600031)$三一这公告真会选时间第一今晚中概股都是大幅反弹。,03-15
以一月份25元的高点来看，下跌才到三浪，还有两浪，10元至13元左右,03-15
$三一重工(SH600031)$一一重工？,03-15
周期性股，几元见。,03-15
$三一重工(SH600031)$服服帖帖,03-15
抄底的要明白一个道理：最高点49.7元持有至今16.35元亏损达67%。跌到25,03-15
美股中概股集体大涨，明天应该反弹了吧,03-15
01重工您好，01重工再见,03-15
"白天没有空,晚上发点.别进还没有到底",03-15
退市,03-15
珍惜16的重工,03-15
11重工,03-15
明天15,03-15
$三一重工(SH600031)$23.6的本好家伙正好亏三十个点看了评论区多数人,03-15
$三一重工(SH600031)$等大盘2500可能会救市吧也就3天4天的事快了,03-15
在熊市当中，就三一重工三季度公布的业绩来看，估计搞到十块钱以下都是有可能的,03-15
三一重工让大家见证了A股的A字是怎么来的！,03-15
115万股东，都是套牢盘！11.5估计可能止跌,03-15
$三一重工(SH600031)$股市四大悲剧三一格力平安京东方,03-15
$三一重工(SH600031)$看年线还得跌，两年涨了百分之两百，这两年也得全部,03-15
有没有32一起站岗的,03-15
还真的想成为一一轻工，这个时候瑞士都不要脸了，还跑出去？[吃瓜],03-15
离13不远了,03-15
$三一重工(SH600031)$好了，跌到19年的价格了,03-15
这票我空仓4年多了。4年下来就回头了。,03-15
$三一重工(SH600031)$13元再考虑，最后说一次,03-15
$三一重工(SH600031)$三一变二一，二一变双棍，不是不到，时候未到,03-15
$三一重工(SH600031)$一直跌，心好痛，快无法呼吸了。,03-15
消息这东西都不知道多少手了，消息发出来前没动作后市基本凉凉,03-15
$三一重工(SH600031)$各位记住，这个就是所谓的价值投资，专家讲的,03-15
$三一重工(SH600031)$好家伙，三一重工跌成了一一重工[鼓掌],03-15
已经亏麻了，走不了，割不动，内心依然坚定不移认为能涨回去,03-15
$三一重工(SH600031)$10块都撑不住，明天还不走？,03-15
三一重工是那个鸟机构推荐这个垃圾股，什么龙头，蓝筹，优质股。,03-15
$三一重工(SH600031)$这股我看十元以下相对安全些,03-15
$三一重工(SH600031)$不说了，一年前讲过,03-15
不是我想黑三一，我只摆事实。,03-15
跌这么多应该到底了，明天5倍杠杆全仓进！,03-15
湖南股不好玩，13个月从49元跌到16元，还是基本面无大变化的行业龙头。,03-15
不可思议，估计要到一千亿市值才能见底,03-15
看这热度。还有的跌。大家拭目以待。都想抄底。你们当主力是。,03-15
还想计划改名，一一?,03-15
$三一重工(SH600031)$下面的这个人拿着19年的数据，忽悠广大股民，算不,03-15
$三一重工(SH600031)$你狠，白马股里面，没有比你跌得多的了，万亿市值，,03-15
$三一重工(SH600031)$仁东重工，七块见,03-15
一六童工,03-15
又是暗淡的一天，未来会有光明吗？,03-15
$三一重工(SH600031)$看看你们的成本,03-15
三一重大利好，瑞士上市兄弟们明天涨停,03-15
这个315是我最灰暗的一天，丢了半条命，我会永远铭记这个黑色的日子！,03-15
$三一重工(SH600031)$设定13.88再看吧,03-15
这一波到十二元了吧！,03-15
$三一重工(SH600031)$问题是我还留了七手也在亏,03-15
$三一重工(SH600031)$有本事明天继续砸啊你砸到位置我倾家荡产来买,03-15
坚持持有,03-15
$三一重工(SH600031)$股东数增加一倍，人多啊还要跌,03-15
$三一重工(SH600031)$10块以下才能慢慢建仓,03-15
欲哭无泪了家人们,03-15
$三一重工(SH600031)$14.39才能看看[滴汗][滴汗],03-15
$三一重工(SH600031)$重回八元时代吧，外资开始割韭菜了,03-15
一六轻工,03-15
砍大了半个月了，留了一手，警醒自己。我的2000多块钱又赔了好几百。,03-15
$三一重工(SH600031)$会成一三轻工吗,03-15
还能再次腰斩不,03-15
马上09重工了,03-15
$三一重工(SH600031)$一六重工你好,03-15
亏死了，还有没有机会回本,03-15
$三一重工(SH600031)$上图，抄底抄再钢板上了，我哭一个月就好了，跟着3,03-15
利好,03-15
$三一重工(SH600031)$谁有我亏损严重，亏得想哭了,03-15
今天又打爆一些融资融券，明天继续打爆。,03-15
$三一重工(SH600031)$资金到位一拉升，拉升途中还吓吓你，受点精神折磨，,03-15
三一跌成了一三,03-15
$三一重工(SH600031)$梁稳根根不稳啊,03-15
$三一重工(SH600031)$大盘周线指数看，本轮调整至少会破3000点，我预,03-15
都已经告诉你3块1了不重都不行,03-15
$三一重工(SH600031)$完全废了,03-15
47买的31，20补仓补刀17，我都无语了。。22的本，已经没有钱补仓了，怎么办,03-15
到底多少才是底啊，多少啊,03-15
$三一重工(SH600031)$我太妈真贱，入了股市！,03-15
太好了，离11元不远，一一重工快出现了，我同事目前重仓深套了，我暗自窃喜[呲牙],03-15
股价跌成这样，公司一句话都没有，其它公司都回购或增持，三一新换的董事长带头减持，,03-15
原来是一三重工啊,03-15
11.1才是真的你,03-15
一意孤行，欲哭无泪，手里捧着窝窝头，菜里没有一滴油,03-15
$三一重工(SH600031)$三一这个亏死我了,03-15
$三一重工(SH600031)$晚上看美股，如果涨，明天开盘割一半，如果跌，明天,03-15
14我卖房子来抄底,03-15
先到17再说,03-15
那些不信跌到五块的人，你们等着吧,03-15
割肉是多么的正确，18割的,03-15
$三一重工(SH600031)$21本还有希望回本吗？,03-15
$三一重工(SH600031)$要崩溃了,03-15
$三一重工(SH600031)$6.5元我买一点点,03-15
$三一重工(SH600031)$当股吧调侃21重工时进的场，结果连21都没坚持住,03-15
三十多元的本，跌到16块，还被扣了6元红利税，好像没有分红啊，土匪。,03-15
$三一重工(SH600031)$我的瞎了眼买了你,03-15
向贼出来走两步,03-15
20.50清仓的都赔了15000没清仓就完毒子了,03-15
三一腰斩，15.5买一手,03-15
三一重工未来还会跌、即使短暂涨也是为了更好的套韭菜，阴跌加横盘7到10年左右！达,03-15
等3.1，我全仓位怼你,03-15
$三一重工(SH600031)$我是放牛的，今天有的忙了，因为吹牛13的人太多，,03-15
三一手工？,03-15
$三一重工(SH600031)$遇到股灾的概率是10年一次；遇到疫情的概率是20,03-15
$三一重工(SH600031)$今天抄底进来的人，信不信会跌到11块套三十个点。,03-15
业绩增长见顶拐点出现，三季股东人数再增加17万人增至115万人,03-15
三、一重工没毛病,03-15
一一重工[发呆],03-15
41的本[哭][哭][哭][哭],03-15
华尔街九姐，whereareyou[大哭],03-15
$三一重工(SH600031)$今年会到11元的，拭目以待。,03-15
能不能回到七块时代？奥利给,03-15
疫情带走了我的青春，股市掏空了我的口袋，三年之后留下一地鸡毛,03-15
$三一重工(SH600031)$快变成四一重工了，11.11等你～,03-15
$三一重工(SH600031)$$上证指数(SH000001)$明天的希望就看美,03-15
$三一重工(SH600031)$晚饭吃着吃着突然就哭了出来！一想到我亏掉了我妈妈,03-15
买股不看庄的成本根本就是送钱,03-15
三一！曾经吃过的鲜肉我在12.88以下等着你！,03-15
请珍惜16块的筹码,03-15
明天满仓抄底就对了,03-15
三一重工03月08日获沪股通增持172.3万股,03-15
十块到十三块比较合理,03-15
马上变成21重工了,03-15
还要不要人活了，工厂停工，股票套牢。生活都是问题了[哭][哭][哭],03-15
高义还在吗？我可是看到他在，我才进的，我的成本比高毅的还要低的，现在也亏成狗了,03-15
永远不要说:都跌了这么多了还能怎么样！,03-15
$三一重工(SH600031)$咋整啊,03-15
大盘、有业绩的票，一定要等形成趋势后追涨！中概股一路下跌的趋势继续中，切勿盲目抄,03-15
一地鸡毛，快要变成01重工了,03-15
$三一重工(SH600031)$一一重工抄底,03-15
这种垃圾股还有人买么,03-15
"$三一重工(SH600031)$收盘了,说一些心里话去超市买东西，工作人员让我出",03-15
$三一重工(SH600031)$何时能回本,03-15
你们不要埋怨三一重工了，上周我割三一进万科更惨。,03-15
尽管三一重工跌到15元附近了，但还不是抄底的时候，因为三一重工现在人气还很高，被,03-15
向文波：如果压力是10分，我打三分[大笑][大笑][大笑],03-15
$三一重工(SH600031)$三一最大的问题是当时涨太多了，后来跌太多了。于是,03-15
15见,03-15
$三一重工(SH600031)$马上变成一一重工,03-15
看法不变10元以下！开始考虑,03-15
希望质押的爆仓,03-15
$三一重工(SH600031)$$上证指数(SH000001)$明天的希望就看美,03-15
三一怎么跌成这样子了,03-15
离3.1重工不远了,03-15
据说，37满仓三一垃工的老爷爷病在医院，立遗嘱把他股票给孙子。他儿子不高兴问为什,03-15
$三一重工(SH600031)$高人指点，清仓么？是不是股灾,03-15
14建仓,03-15
$三一重工(SH600031)$不说了，一年前讲过,03-15
明天15见[囧],03-15
一一重工能抄了吗？,03-15
$三一重工(SH600031)$要变一一重工了,03-15
30元买的估计少则三年多则三十年不能解套,03-15
16重工,03-15
$三一重工(SH600031)$请珍惜16.5元的三一[加油][加油][加油],03-15
3.1块！,03-15
现在杀的就是权重股，白马股全部打回原形！,03-15
$三一重工(SH600031)$别人恐惧我贪婪，加仓干！,03-15
炒股票好累，到处都跌,03-15
$三一重工(SH600031)$股,03-15
$三一重工(SH600031)$11重工不是梦。,03-15
$三一重工(SH600031)$快止跌了，再来个腰斩差不多了[坏笑],03-15
一三重工,03-15
哈哈，我账户资金从来都是0的,03-15
事到如今，已经没话可说了！就这些抱团股，我前年年底喊到现在，说不能买了，没几个有,03-15
暴雷了吗？三一,03-15
小子点评：三一重工已完成碰撞底部18元，碰撞结果为16.35元，小子现在正式宣布,03-15
$三一重工(SH600031)$老乡别走[得意][得意],03-15
40入手的,03-15
$三一重工(SH600031)$三一害得不少家庭要去民政局吧,03-15
果不其然！今日A股真的大幅度低开，紧急提醒所有人！,03-15
我在八块钱抄底,03-15
$三一重工(SH600031)$赔掉腚了！,03-15
跟着狼吃肉，跟着狗,03-15
$三一重工(SH600031)$一三重工快来了,03-15
$三一重工(SH600031)$资本市场没办法要收割三一是好公司被资本玩坏了最后,03-15
$三一重工(SH600031)$16轻工,03-15
原创：基于历史数据的三一重工短期反弹预测,03-15
$三一重工(SH600031)$这只股票上市公司不知割了散户多少个亿的资金。,03-15
要买重工必定自宫,03-15
16左右能反弹10个点左右,03-15
万亿股？！,03-15
$三一重工(SH600031)$下周上30,03-15
折戟三一垃圾里，这个死垃圾真是够了，恶心人,03-15
涂山掌财二当家,03-15
$三一重工(SH600031)$美元加息，外资撤，什么时候是个头,03-15
今天商票市场成交利率一览,03-15
还有人买吗,03-15
三一重工，二一轻工，一一手工。,03-15
昨晚做出租车，发现司机给我绕路了，本想揭穿他，后来想了想，不是每个人都想陪你多待,03-15
11轻工不是梦,03-15
转发,03-15
$三一重工(SH600031)$大盘这环境，不要看什么日K，周K了，看月线吧,03-15
现在补仓都不敢补了。跌吧。只好了,03-15
只要在这里面唱20、25以上安全的，全是托,03-15
前期被外资看好的股票没有一个有好下场,03-15
三一就值6.7元,03-15
38的本还有在的么,03-15
再马上11了,03-15
$三一重工(SH600031)$有没有大屁股那里来的,03-15
$三一重工(SH600031)$稳跟变成断跟了，向文波上台暴跌30几个点，还不引,03-15
$三一重工(SH600031)$真要一一重工吗,03-15
名副其实，一一轻工了,03-15
这里面有没有买乐视的，已经好几个涨停板了，这是啥情况呀,03-15
$三一重工(SH600031)$不到40不买,03-15
这个垃圾、我进来两次。两次都割肉走人、在低的价格我也不会买你了,03-15
好一个价值投资，三一你做到了,03-15
这一波跌，还有百万小散？我估计灰飞烟灭了吧。。。如果还呆在里面的小散就是小傻,03-15
破10，就是零零轻工[大笑][大笑][大笑],03-15
00重工,03-15
三一重工，当时我说一三重工，还没人信，现在信了吧，就几天后的事,03-15
快跌到15元了，明天跌到15元，我去顶我去年三一重工50元左右发的帖子出来验证，,03-15
转发,03-15
这玩意不会破16吧,03-15
$三一重工(SH600031)$罕见的跌跤，15将近[下跌],03-15
$三一重工(SH600031)$48的38的28的18的，你们还好吗,03-15
23.5的本,03-15
真的是无语了。,03-15
惨不忍睹，锁仓，一股不卖，不大盈不走，修心养性，耐心等待,03-15
$三一重工(SH600031)$16.90全仓，护国之重器，非三一莫属,03-15
$三一重工(SH600031)$三一是好公司，周期问题，还会继续下行，10元左右,03-15
$三一重工(SH600031)$16左右三一的合理价格，因为大盘走低所以被影响了,03-15
$三一重工(SH600031)$一点反弹迹象都没有但凡反弹一点点我就跑了,03-15
还能回本吗,03-15
一一轻工，你好！,03-15
$三一重工(SH600031)$手欠今天17.29补了一下子又下去一万多,03-15
前段时间说跌倒16就抄底的人呢？,03-15
今天跌不动了吧,03-15
$三一重工(SH600031)$啥时候到11，11我也只是看看,03-15
明天暴力反弹,03-15
31的本，你看我还有机会吗？（回本）[惨!关灯吃面],03-15
我25本啊,03-15
11.1，才是三一,03-15
三一变一三,03-15
三一开始了，绷不住了,03-15
$三一重工(SH600031)$太TM难了[哭],03-15
$三一重工(SH600031)$看到你们还在评论区讨论，我就知道回本遥遥无期了,03-15
$三一重工(SH600031)$希望你能跌到10元，别让我失望,03-15
$三一重工(SH600031)$坐等13抄底,03-15
$三一重工(SH600031)$一一重工，指日可待！,03-15
抄底信号来了，满仓干就完了,03-15
今天表现算不错了,03-15
一六重工,03-15
$三一重工(SH600031)$第二个中国中车[笑哭],03-15
跌的好爽，搞死这些投机客,03-15
一六重工,03-15
三一不涨，就是股东太多了，还都是套牢盘,03-15
$三一重工(SH600031)$朋友们不要哭，42到现在，价值投资害死人[旺柴],03-15
$三一重工(SH600031)$亏死了,03-15
做梦了，三一要跌11元的底,03-15
这几天虽然也跌了，但是比大盘好点,03-15
跌到五块我全村,03-15
要么跌到10块以下吧,03-15
$三一重工(SH600031)$目标暂定15[哭],03-15
马上到一三重工了！,03-15
$三一重工(SH600031)$满仓,03-15
快变成11重工了,03-15
一一重工再来抄底,03-15
永远不要对什么股报任何幻想3000点必破，同理15必破！！！,03-15
还有10-11.5的跌幅。不急[微笑],03-15
都说散户大本营了！,03-15
三一重工起不来，基建都是白扯,03-15
跌成狗样了，还有这么多在卖,03-15
$三一重工(SH600031)$会到个位数吗？[大哭],03-15
恭喜我吧！被套一周年纪念日……不祝贺也没关系，二周年三周年……再祝贺也行[呲牙],03-15
大跌不止，难道熊市来临了,03-15
$三一重工(SH600031)$万科，三一，抄那支,03-15
一百多万股东，不是开玩笑的，至少要走一半，机构才会慢慢往上拉，而起时间是按年算,03-15
在这个票里面被套住的人，原来都是打算进来抄底的，然后…就没有然后了！[呲牙],03-15
$三一重工(SH600031)$3.1元才符合他的气质,03-15
$三一重工(SH600031)$3.1元才符合他的气质,03-15
$三一重工(SH600031)$稳根成断根了,03-15
$三一重工(SH600031)$各路英雄豪杰发财～在下割了～,03-15
2020.3.2满仓买入三一，到今天16.5元收盘为止，亏损额达到-500000,03-15
$三一重工(SH600031)$呵呵！徐工三元时，三一六块，怎么看都不如徐工性价,03-15
一三轻工开始建仓，一一重工满仓干,03-15
$三一重工(SH600031)$50还在跌明天挑战16.35估计撑不住,03-15
今天三一重工和上海家化收盘双双以巨量封涨停板，连续20000个涨停板，大家炒股都,03-15
$三一重工(SH600031)$三块一差不多,03-15
说过三一变一三，等着吧,03-15
今天16.64又接了点，还是赌输了，继续耗，15再来接,03-15
珍惜17块的三一因为马上16了,03-15
应该会跌倒3.1，大约五月份到底[色][色][色],03-15
等着13全仓干,03-15
$三一重工(SH600031)$再坚持一年跌过今年就好了,03-15
$三一重工(SH600031)$大盘好时候，三一已经变成一一了。现在大盘这样。估,03-15
这股跌的没有底线,03-15
$三一重工(SH600031)$够稳，没破前低。,03-15
01手工,03-15
28进来，抗到20，实在抗不动了，留了一手做纪念，随它去...,03-15
$三一重工(SH600031)$大盘会回落至2800一带，三一必到12元。,03-15
加仓应该改为3块左右,03-15
文波高位减持了这么多可以回购一点了吧yd,03-15
大宗交易：三一重工成交3973.5万元，成交均价17.66元（03-08）,03-15
亏了3000多，要不要割肉。,03-15
我已经服了，服的五体投地！,03-15
停了吗怎么买不了了,03-15
$三一重工(SH600031)$我选择卧倒，,03-15
$三一重工(SH600031)$我选择卧倒，,03-15
一三轻工见底[大笑],03-15
一一轻母,03-15
尾盘抄底成功，明天高开5个点[色][色],03-15
不出意外，这个月要破千亿市值,03-15
今天这位兄弟给我留言，我感觉很伤感，我好久没有发帖子了，公司还是那个公司，影响我,03-15
$三一重工(SH600031)$从高点，下跌2/3,03-15
"三一,二一,一一.",03-15
马上就变一一重工了,03-15
垃圾桶,03-15
要跌到12.44元去，下次再来,03-15
牛逼,03-15
要不换股东了,03-15
三一倒过来数就是底。,03-15
$三一重工(SH600031)$说了三一变13才是底，偏偏不信,03-15
$三一重工(SH600031)$无话可说,03-15
快成11重工了,03-15
【03月15日】复盘：牛股跟踪进行中！,03-15
$三一重工(SH600031)$暴雷，ST了,03-15
$三一重工(SH600031)$再跌还不起贷款了,03-15
怎么整啊，各位,03-15
$三一重工(SH600031)$我亏了50%，[哭][哭][哭],03-15
11.1止跌！,03-15
$三一重工(SH600031)$买杯奶茶想半天省吃俭用，在三一重工挥金如土！,03-15
$三一重工(SH600031)$到一三就差不多了,03-15
这票没希望了。,03-15
三一重工3月15日盘中跌幅达5%,03-15
$三一重工(SH600031)$灰物,03-15
到一三我就来，不为别的就图他对称,03-15
今天应该是技术调整,03-15
等13吧，大家,03-15
救命啊[再见]我不看了，等老了再回来看看,03-15
这是要留着养老嘛,03-15
之前看到融券余额并没有减小，再加上技术指标一直都是看空就猜到后期股价走势并不简单,03-15
股市就是看谁跑的快，最好第二天一定卖出,03-15
$三一重工(SH600031)$总算不跌了,03-15
股市就是看谁跑的快，最好第二天一定卖出,03-15
照这样子马上就能看见一三重工了,03-15
$三一重工(SH600031)$一股亏损二十元二角。。。炒股炒得心塞。。。,03-15
一一轻工不远了,03-15
$三一重工(SH600031)$一一重工,03-15
要倾家荡产了,03-15
明天还会掉前年去年怎么涨的今年都给我跌回去，我就留了1手哈哈，等到12元再接就接,03-15
$三一重工(SH600031)$这就是龙头，不如,03-15
每天都想过来看看你们，我在28买的23卖的，赔了四万走的，回来看，股票千万不能等,03-15
不想骂，真的太坑人了,03-15
$海螺水泥(SH600585)$$五粮液(SZ000858)$$三一重工(SH6,03-15
$三一重工(SH600031)$只有停盘这一刻才是最轻松的，都坚持不住了，真想就,03-15
$三一重工(SH600031)$本来只想安安心心有比银行利息高点的回报，哪想天天,03-15
【重磅】散户化进一步加剧，股东人数超过百万，预计三季报之后，次新股之外京东方A、,03-15
$三一重工(SH600031)$兄弟们，一一重工见,03-15
一三一三亮睛睛，一三再补回来，今天跑得快,03-15
$三一重工(SH600031)$31原来是最高价的1/3……,03-15
真是跟着狼吃肉，跟着狗,03-15
需要5个涨停,03-15
三一马上变一三真变态,03-15
回本再也不碰股票,03-15
$三一重工(SH600031)$一一轻工在招手[滴汗],03-15
真是跟着狼吃肉，跟着狗,03-15
垃圾玩意，跌不过大盘是不是难受？,03-15
$三一重工(SH600031)$太恶心了这个三一，真的跌到无底线，垃圾……,03-15
$三一重工(SH600031)$出完没有，我要加仓了哦，根本没有打算卖的意思,03-15
A股完了，股票大跌,03-15
，跌不过大盘是不是难受？,03-15
珍惜17块的三一吧，过几天就买不到了,03-15
真的芭比Q了,03-15
同志们16元一下积极建仓,03-15
$三一重工(SH600031)$感觉要到7块钱一直探不到底辜负千万股民啦,03-15
$三一重工(SH600031)$已经下去一半本金了，他娘亲的,03-15
$三一重工(SH600031)$啥子世道啊？,03-15
$三一重工(SH600031)$十元有希望了，谢谢,03-15
$三一重工(SH600031)$发生了什么呢？,03-15
$三一重工(SH600031)$我站在山顶抬头望眼泪止不住的往下流[哭][哭],03-15
22进的，一直在跌,03-15
$三一重工(SH600031)$集中资金准备抄底的时候马上到了,03-15
下跌趋势不言底，前俩天，还不跑的活该,03-15
$三一重工(SH600031)$套一世A股，还一生房贷[好困惑][好困惑],03-15
，,03-15
$三一重工(SH600031)$三一重工，名字都告诉你了，三块一！还不听,03-15
你今天中午跑赢上证指数大盘了,03-15
$三一重工(SH600031)$外资重仓股在使劲跌！卧槽！,03-15
跟着狼吃肉，跟着狗,03-15
$三一重工(SH600031)$你怎么回事啊，还能不能行啊,03-15
无底洞，补多少跌多少,03-15
之前还乐观的看到14，现在改为9.5元,03-15
$三一重工(SH600031)$做过价差,03-15
13重工,03-15
一一重工你好[微笑],03-15
回购吧,03-15
树大也不安全，抄底操不动了,03-15
$三一重工(SH600031)$保住千亿市值,03-15
$三一重工(SH600031)$16重工都保不住,03-15
可怜的股民,03-15
$三一重工(SH600031)$这也太恐怖了吧，长线不一定好，我以为那是底，结果,03-15
还有敢抄底的么,03-15
又被套了？,03-15
$三一重工(SH600031)$0.31重工,03-15
$三一重工(SH600031)$公司市场估值在那摆着。抄底个毛线。都冷静一点。,03-15
割肉割肉,03-15
三一不行啊,03-15
要跌就大跌连续跌停,03-15
还好上周买了台印钞机，带自干油墨的,03-15
不要慌还会再调整一下，股东人数太多了，没有太多利益可赚，主力也不是二愣子[笑哭],03-15
亏的吐血,03-15
$三一重工(SH600031)$这价格已经可以让梁老板过的很滋润了,03-15
$三一重工(SH600031)$跌到10块我就买，不买是棒槌,03-15
$三一重工(SH600031)$跌到10块我就买，不买是,03-15
今天来说说为什么三一重工一直躺板板。为什么你补多少死多少。逻辑上说自从2015年,03-15
感觉，清仓了拜拜,03-15
17.5以上就要跑进入16就买这货就这水平了不知道能保持几天,03-15
$三一重工(SH600031)$十一块见底,03-15
$三一重工(SH600031)$这个股流通盘太大，最少跌到6块别人才玩得动,03-15
我现在学会了要跟着感觉走炒股抄的就是胆量跟不上别人的节奏喝汤都没有机会.....,03-15
三一、二一、一一。应该是这个节奏吧！,03-15
依然坚持看到14月底,03-15
反正我割肉了堵明天黑牡丹涨停,03-15
$三一重工(SH600031)$大单一如既往持续性流出,03-15
真的打算一一,03-15
$三一重工(SH600031)$16.90全仓，护国之重器，非三一莫属,03-15
$三一重工(SH600031)$一三重工[滴汗],03-15
不好意思，我撤了，我女友叫我拿去买车去装逼都不要放在这股里面打水漂。,03-15
跌不过大盘，真垃圾,03-15
直接砸碎股市！,03-15
割肉了亏五百多，买黑牡丹,03-15
$三一重工(SH600031)$一一重工等你[哭],03-15
$三一重工(SH600031)$惨烈加刚猎！,03-15
$三一重工(SH600031)$太惨了，无底洞,03-15
勇争第一,03-15
$三一重工(SH600031)$完犊子了,03-15
每天这么多卖出，是散户吗？就是股东减持，难怪没机构进来。垃圾重工,03-15
重仓你的都吐血了，吐血,03-15
随便跌吧已经麻木了,03-15
$三一重工(SH600031)$太可怕了,03-15
幸好20.3的时候换券商了，回来看看真的好惨吃人不吐骨头的三一,03-15
三一重工重磅发声：工程机械永不落幕！,03-15
$三一重工(SH600031)$加油15等你,03-15
赶快改名，一一重工,03-15
$三一重工(SH600031)$雅化集团一季度增十多倍,03-15
"$三一重工(SH600031)$要珍惜现在,现在这个点位是几个月之后遥遥不可及的",03-15
刘曼,03-15
底部了，起飞,03-15
$三一重工(SH600031)$早知今日，何必当初。17元作为坚守点，轴线基本确,03-15
我认为三一重工还要下跌，主力还在卖，市场前景还不明朗。,03-15
观望中,03-15
基金强平盘估计快出现了,03-15
$三一重工(SH600031)$各位大神，我35元本，想解套，还得等多长时间？,03-15
"头几天16块多的时候应该胆子大一点建个底仓,现在又不敢了",03-15
$三一重工(SH600031)$每天尿一点，真的墨迹[微笑],03-15
我等10块得你,03-15
如何判断一只股票是否已经跌到了底部？,03-15
$三一重工(SH600031)$27的本还能回么,03-15
早走早受益，外面好股票一大堆！,03-15
16.35应该是10年大底了吧！,03-15
$三一重工(SH600031)$赶紧买17的三一马上就看不到了,03-15
三个一已经跌不动了,03-15
不会跌破17吧,03-15
好好珍惜3100的大盘，过几天就看不到了，又要回到3000以下了[坏笑],03-15
